Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
Feb-16,4.3128196,4.702,1.895,810.95
Mar-16,5.04422385,3.637,0.558,810.86
Apr-16,6.1392305,9.84,0.566,810.87
May-16,5.95528074,9.042,8.08,811.12
Jun-16,220.9856418,238.35751,709.83997,815.55
Jul-16,354.9325595,125.96831,127.336235,812.4
Aug-16,209.42235,97.4,127.73734,812.44
Sep-16,75.9263465,125.052315,66.63598,811.9
Oct-16,57.4866961,66.209755,131.13957,812.54
Nov-16,29.62445843,50.783546,6.5759993,811.29
Dec-16,19.6955642,31.939528,7.95,811.17
Jan-17,9.0074535,8.842,12.343,811.24
Feb-17,11.3886936,1.895,74.55374,811.84
Mar-17,5.01502385,0.558,1.292,810.94
Apr-17,5.9695156,0.566,2.578,810.97
May-17,5.85268074,8.08,3.871,811.11
Jun-17,193.5038418,709.83997,275.282,812.85
Jul-17,368.6062595,127.336235,260.737,812.63
Aug-17,241.12115,127.73734,509.788,814.45
Sep-17,88.0339465,66.63598,265.476,812.78
Oct-17,56.1500961,131.13957,47.174,811.92
Nov-17,29.15435273,6.5759993,19.019,811.39
Dec-17,19.8081607,7.95,11.351,811.3
Jan-18,9.1059535,12.343,8.922,811.15
Feb-18,11.1484936,74.55374,2.926,810.94
Mar-18,6.33603085,1.292,23.831,811.21
Apr-18,5.3927156,2.578,0,811.04
May-18,20.28938074,3.871,149.914,811.97
Jun-18,206.7073088,275.282,366.219,7.27
Jul-18,304.0524595,260.737,268.162,813.4
Aug-18,233.68715,509.788,0,8.34
Sep-18,88.4640825,265.476,45,5.98
Oct-18,54.7309961,47.174,24.099,5.64
Nov-18,28.47465273,19.019,13.523,811.48
Dec-18,19.8363607,11.351,9.792,811.31
Jan-19,9.1632535,8.922,5.998,5.17
Feb-19,10.9804936,2.926,-,811.02
Mar-19,5.62833085,23.831,-,811.02
Apr-19,4.8238156,0,-,811.07
May-19,19.79838074,149.914,-,811.02
Jun-19,204.5013088,366.219,-,812.456
Jul-19,269.1824595,268.162,-,6.12
Aug-19,226.53915,0,-,811.859
Sep-19,82.8110825,45,-,812.456
Oct-19,51.4493898,24.099,-,812.453
Nov-19,25.82908043,13.523,-,812.46
Dec-19,16.4803991,9.792,-,812.46
Jan-20,8.0302535,5.998,-,812.45
Feb-20,10.3363936,0,-,812.45
Mar-20,5.23500247,0,-,812.45
Apr-20,3.9942107,0,-,812.45
May-20,19.2829172,0,-,812.46
Jun-20,195.5801113,0,-,812.45
Jul-20,208.3324595,0,-,812.56
Aug-20,167.60915,0,-,812.14
Sep-20,77.8737855,0,-,812.32
Oct-20,46.2063898,0,-,811.82
Nov-20,21.45135863,0,-,811.56
Dec-20,14.3572381,0,-,811.33
Jan-21,6.7197,0,-,811.25
Feb-21,9.434874,0,-,811.16
Mar-21,4.6421,0,-,811
Apr-21,3.0885,0,-,811.15
May-21,18.8709,0,-,811.46
Jun-21,182.8316793,0,-,811.8
Jul-21,192.6124595,0,-,813.57
Aug-21,142.88915,0,-,812.91
Sep-21,72.4006895,0,-,812.26
Oct-21,40.8691268,0,-,812.09
Nov-21,18.41375103,0,-,811.8
Dec-21,12.176126,0,-,811.63
Jan-22,5.8031,0,-,811.47
Feb-22,9.084574,0,-,811.39
Mar-22,3.4741,0,-,811.15
